timestamp,acceleration_x,acceleration_y,acceleration_z,solenoid_status
99043,-0.32,0.97,9.83,0
99046,-0.31,0.98,9.82,0
99049,-0.32,0.98,9.81,0
99052,-0.31,0.98,9.81,0
99055,-0.33,0.97,9.83,0
99058,-0.32,0.97,9.82,0
99061,-0.32,0.99,9.83,0
99063,-0.29,0.97,9.82,0
99066,-0.29,0.96,9.83,0
99069,-0.33,0.98,9.80,0
99072,-0.32,0.98,9.84,0
99075,-0.32,0.98,9.81,0
99078,-0.31,0.97,9.82,0
99080,-0.33,0.97,9.80,0
99083,-0.34,0.97,9.84,0
99086,-0.31,0.96,9.83,0
99089,-0.31,1.00,9.83,0
99092,-0.32,0.96,9.83,0
99095,-0.30,0.95,9.83,0
99098,-0.32,0.96,9.82,0
99100,-0.30,0.97,9.82,0
99103,-0.34,0.96,9.83,0
99106,-0.32,0.97,9.82,0
99109,-0.32,0.97,9.82,0
99112,-0.33,0.95,9.82,0
99115,-0.30,0.98,9.81,0
99117,-0.30,0.95,9.82,0
99120,-0.32,0.98,9.84,0
99123,-0.32,0.99,9.83,0
99126,-0.32,0.97,9.83,0
99129,-0.33,0.96,9.81,0
99131,-0.30,0.98,9.82,0
99134,-0.33,0.97,9.82,0
99137,-0.31,0.98,9.82,0
99140,-0.31,0.98,9.82,0
99143,-0.32,0.97,9.80,0
99146,-0.32,0.99,9.82,0
99148,-0.32,0.98,9.82,0
99151,-0.29,0.98,9.82,0
99154,-0.30,0.97,9.82,0
99157,-0.31,0.98,9.83,0
99160,-0.31,0.98,9.82,0
99163,-0.31,0.95,9.82,0
99165,-0.34,0.96,9.84,0
99168,-0.32,0.97,9.83,0
99171,-0.33,0.98,9.84,0
99174,-0.31,0.96,9.84,0
99177,-0.33,0.97,9.82,0
99180,-0.30,0.94,9.81,0
99182,-0.31,0.96,9.82,0
99185,-0.30,0.95,9.83,0
99188,-0.30,0.97,9.82,0
99191,-0.31,0.96,9.82,0
99194,-0.31,0.95,9.80,0
99197,-0.32,0.95,9.84,0
99199,-0.32,0.96,9.81,0
99202,-0.31,0.96,9.82,0
99205,-0.31,0.97,9.82,0
99208,-0.31,0.99,9.83,0
99211,-0.33,0.97,9.84,0
99213,-0.31,0.97,9.82,0
99216,-0.32,0.97,9.82,0
99219,-0.32,0.98,9.81,0
99222,-0.34,0.99,9.82,0
99225,-0.33,0.97,9.82,0
99228,-0.31,0.98,9.82,0
99230,-0.33,0.95,9.82,0
99233,-0.32,0.98,9.84,0
99236,-0.33,0.96,9.82,0
99239,-0.29,0.96,9.80,0
99242,-0.31,0.98,9.81,0
99245,-0.33,0.98,9.81,0
99247,-0.30,0.98,9.83,0
99250,-0.31,0.97,9.81,0
99253,-0.31,0.97,9.82,0
99256,-0.32,0.95,9.83,0
99259,-0.30,0.97,9.83,0
99262,-0.30,0.98,9.82,0
99264,-0.30,0.98,9.83,0
99267,-0.29,0.97,9.81,0
99270,-0.32,0.96,9.82,0
99273,-0.32,0.97,9.82,0
99276,-0.33,0.97,9.82,0
99279,-0.33,0.96,9.81,0
99281,-0.34,0.97,9.82,0
99284,-0.30,0.96,9.81,0
99287,-0.32,0.95,9.82,0
99290,-0.33,0.96,9.82,0
99293,-0.32,0.98,9.81,0
99296,-0.30,0.98,9.81,0
99299,-0.33,0.98,9.82,0
99302,-0.33,0.96,9.82,0
99304,-0.30,0.98,9.81,0
99307,-0.31,0.98,9.82,0
99310,-0.33,0.98,9.83,0
99313,-0.32,0.99,9.83,0
99316,-0.33,0.96,9.84,0
99318,-0.31,0.96,9.82,0
99321,-0.32,0.96,9.82,0
99324,-0.31,0.95,9.82,0
99327,-0.35,0.97,9.83,0
99330,-0.32,0.97,9.81,0
99333,-0.32,0.97,9.82,0
99335,-0.33,0.98,9.81,0
99338,-0.34,0.98,9.83,0
99341,-0.31,0.99,9.81,0
99344,-0.31,0.98,9.81,0
99347,-0.32,0.96,9.80,0
99350,-0.30,0.96,9.80,0
99353,-0.33,0.96,9.83,0
99355,-0.32,0.98,9.81,0
99358,-0.34,0.97,9.82,0
99361,-0.30,0.97,9.82,0
99364,-0.31,0.96,9.83,0
99367,-0.31,0.98,9.82,0
99369,-0.30,0.95,9.83,0
99372,-0.32,0.97,9.83,0
99375,-0.31,0.96,9.81,0
99378,-0.31,0.98,9.83,0
99381,-0.30,0.99,9.82,0
99384,-0.30,0.97,9.82,0
99386,-0.29,0.99,9.81,0
99389,-0.32,0.98,9.80,0
99392,-0.32,0.97,9.84,0
99395,-0.32,0.97,9.82,0
99398,-0.31,0.98,9.81,0
99401,-0.31,0.97,9.81,0
99404,-0.32,0.96,9.81,0
99406,-0.31,0.97,9.81,0
99409,-0.32,0.97,9.83,0
99412,-0.33,0.96,9.81,0
99415,-0.30,0.99,9.81,0
99418,-0.30,0.96,9.81,0
